Job Title,Company Name,Rating,Location,Salary
Security Researcher,CrowdStrike,3.0,Remote,"$72,000 - $93,000 a year"
Security Investigator,Caterpillar,3.9,"East Peoria, IL","$99,000 - $140,000 a year"
Junior Cyber Security SOC Analyst,General Dynamics Information Technology,3.8,"Washington, DC","$86,000 - $130,000 a year"
Developer / Cyber Security Blue Team Tester,LOCKHEED MARTIN CORPORATION,4.1,"Fort Worth, TX","$90,000 - $120,000 a year"
Cyber Security Architect,Piper Companies,4.0,"Wilmington, DE",$75 - $90 an hour
Cyber Security Engineer,Core One,Not Given,"College Park, MD","$120,000 - $170,000 a year"
Jr. Asymmetric Cyber Security Analyst,ECS Federal LLC,3.5,"Alexandria, VA","$76,000 - $100,000 a year"
Cyber Security / SA&A - Falls Church,LOCKHEED MARTIN CORPORATION,4.1,"Washington, DC","$84,000 - $110,000 a year"
Cyber Security Analyst,Venatore Llc,4.3,"Tampa, FL","$81,000 - $110,000 a year"
Cyber Security Research Engineer - Junior,Northeast Information Discovery,Not Given,"Canastota, NY","$85,000 - $120,000 a year"
Cyber Security Analyst,General Atomics and Affiliated Companies,4.0,"San Diego, CA","$74,000 - $93,000 a year"
Cyber Security Level 2,PROLIM Corporation,3.3,"Northville, MI","$110,000 - $140,000 a year"
Cyber Security Intern,Collins Aerospace,3.7,"Farmington, CT","$58,000 - $81,000 a year"
Junior Cyber Security Engineer,Collins Aerospace,3.7,"East Hartford, CT","$83,000 - $110,000 a year"
Incident Response Cyber Security Engineer,Leidos,3.7,"Silver Spring, MD","$90,000 - $130,000 a year"
Cyber Security Architect,"NFF, Inc",3.7,"Washington, DC","$110,000 - $150,000 a year"
Cyber Security Engineer,Novel Applications of Vital Information,Not Given,"Arlington, VA","$110,000 - $150,000 a year"
CYBER SECURITY ENGINEER-RS 4,ULA,3.9,"Denver, CO","$84,000 - $110,000 a year"
Jr Info Security Analyst,American Express,4.1,"Phoenix, AZ","$57,000 - $78,000 a year"
Security Investigation Unit Specialist,Paychex Inc.,3.7,"Webster, NY","$100,000 - $130,000 a year"
"Compliance Manager, Cyber Security",NBCUniversal,4.1,"New York, NY","$99,000 - $140,000 a year"
Cyber Security & Policy Engineer,Offensive Security,Not Given,"New York, NY","$96,000 - $140,000 a year"
"Cyber Security Research, Vulnerability Management",Siemens,4.0,"Princeton, NJ","$95,000 - $130,000 a year"
Associate Cyber Security Analyst,Foreground Security,4.3,"Sterling, VA","$64,000 - $84,000 a year"
SECURITY SPECIALIST,US Department of Defense,4.3,"Kirtland AFB, NM","$89,000 - $120,000 a year"
Cyber Security Engineer,Leidos,3.7,"Orlando, FL","$84,000 - $110,000 a year"
Cyber Security Analyst,Collins Aerospace,3.7,"Farmington, CT","$93,000 - $130,000 a year"
Cyber Security Specialist,Leidos,3.7,"Washington, DC","$89,000 - $120,000 a year"
